CMDLINE /Users/macbookair/Documents/Programming/oneredboxng/venv/bin/python3 app.py
MEM 39.218750 1680699771.8527
MEM 39.218750 1680699771.9583
MEM 39.218750 1680699772.0623
MEM 39.218750 1680699772.1670
MEM 39.218750 1680699772.2716
MEM 39.218750 1680699772.3744
MEM 39.218750 1680699772.4758
MEM 39.218750 1680699772.5799
MEM 39.218750 1680699772.6828
MEM 39.218750 1680699772.7869
MEM 39.218750 1680699772.8917
MEM 39.218750 1680699772.9973
MEM 39.218750 1680699773.0984
MEM 39.218750 1680699773.2010
MEM 39.218750 1680699773.3023
MEM 39.218750 1680699773.4052
MEM 39.218750 1680699773.5107
MEM 39.218750 1680699773.6161
MEM 39.218750 1680699773.7202
MEM 39.218750 1680699773.8229
MEM 39.218750 1680699773.9256
MEM 39.218750 1680699774.0303
MEM 39.218750 1680699774.1350
MEM 39.218750 1680699774.2396
MEM 39.218750 1680699774.3425
MEM 39.218750 1680699774.4474
MEM 39.218750 1680699774.5519
MEM 39.218750 1680699774.6528
MEM 39.218750 1680699774.7579
MEM 39.218750 1680699774.8626
MEM 39.218750 1680699774.9667
MEM 39.218750 1680699775.0717
MEM 39.218750 1680699775.1757
MEM 39.218750 1680699775.2811
MEM 39.218750 1680699775.3865
MEM 39.218750 1680699775.4921
MEM 39.218750 1680699775.5953
MEM 39.218750 1680699775.7003
MEM 39.218750 1680699775.8011
MEM 39.218750 1680699775.9067
MEM 39.218750 1680699776.0106
MEM 39.218750 1680699776.1151
MEM 39.218750 1680699776.2195
MEM 39.218750 1680699776.3240
MEM 39.218750 1680699776.4269
MEM 39.218750 1680699776.5315
MEM 39.218750 1680699776.6415
MEM 39.218750 1680699776.7425
MEM 39.218750 1680699776.8479
MEM 39.218750 1680699776.9531
MEM 39.218750 1680699777.0545
MEM 39.218750 1680699777.1590
MEM 39.218750 1680699777.2626
MEM 39.218750 1680699777.3646
MEM 39.218750 1680699777.4675
MEM 39.218750 1680699777.5687
MEM 39.218750 1680699777.6702
MEM 39.218750 1680699777.7748
MEM 39.218750 1680699777.8803
MEM 39.218750 1680699777.9832
MEM 39.218750 1680699778.0867
MEM 39.218750 1680699778.1890
MEM 39.218750 1680699778.2934
MEM 39.218750 1680699778.3960
MEM 39.218750 1680699778.4992
MEM 39.218750 1680699778.6034
MEM 39.218750 1680699778.7079
MEM 39.218750 1680699778.8107
MEM 39.218750 1680699778.9165
MEM 39.218750 1680699779.0197
MEM 39.218750 1680699779.1241
MEM 39.218750 1680699779.2266
MEM 39.218750 1680699779.3321
MEM 39.218750 1680699779.4356
MEM 39.218750 1680699779.5402
MEM 39.218750 1680699779.6459
MEM 39.218750 1680699779.7508
MEM 39.218750 1680699779.8566
MEM 39.218750 1680699779.9607
MEM 39.218750 1680699780.0653
MEM 39.218750 1680699780.1710
MEM 39.218750 1680699780.2764
MEM 39.218750 1680699780.3790
MEM 39.218750 1680699780.4831
MEM 39.218750 1680699780.5883
MEM 39.218750 1680699780.6931
MEM 39.218750 1680699780.7955
MEM 39.218750 1680699780.9003
MEM 39.218750 1680699781.0059
MEM 39.218750 1680699781.1114
MEM 39.218750 1680699781.2147
MEM 39.218750 1680699781.3167
MEM 39.218750 1680699781.4219
MEM 39.218750 1680699781.5230
MEM 39.218750 1680699781.6285
MEM 39.218750 1680699781.7317
MEM 39.218750 1680699781.8347
MEM 39.218750 1680699781.9360
MEM 39.218750 1680699782.0387
MEM 39.218750 1680699782.1397
MEM 39.218750 1680699782.2425
MEM 39.218750 1680699782.3467
MEM 39.218750 1680699782.4479
MEM 39.218750 1680699782.5524
MEM 39.218750 1680699782.6572
MEM 39.218750 1680699782.7616
MEM 39.218750 1680699782.8670
MEM 39.218750 1680699782.9708
MEM 39.218750 1680699783.0750
MEM 39.218750 1680699783.1799
MEM 39.218750 1680699783.2827
MEM 39.218750 1680699783.3868
MEM 39.218750 1680699783.4924
MEM 39.218750 1680699783.5968
MEM 39.218750 1680699783.6998
MEM 39.218750 1680699783.8053
MEM 39.218750 1680699783.9109
MEM 39.218750 1680699784.0142
MEM 39.218750 1680699784.1188
MEM 39.218750 1680699784.2227
MEM 39.218750 1680699784.3235
MEM 39.218750 1680699784.4294
MEM 39.218750 1680699784.5350
MEM 39.218750 1680699784.6388
MEM 39.218750 1680699784.7443
MEM 39.218750 1680699784.8483
MEM 39.218750 1680699784.9535
MEM 39.218750 1680699785.0590
MEM 39.218750 1680699785.1643
MEM 39.218750 1680699785.2668
MEM 39.218750 1680699785.3717
MEM 39.218750 1680699785.4775
MEM 39.218750 1680699785.5784
MEM 39.218750 1680699785.6833
MEM 39.218750 1680699785.7864
MEM 39.218750 1680699785.8889
MEM 39.218750 1680699785.9937
MEM 39.218750 1680699786.0994
MEM 39.218750 1680699786.2006
MEM 39.218750 1680699786.3034
MEM 39.218750 1680699786.4040
MEM 39.218750 1680699786.5082
MEM 39.218750 1680699786.6126
MEM 39.218750 1680699786.7133
MEM 39.218750 1680699786.8158
MEM 39.218750 1680699786.9191
MEM 39.218750 1680699787.0222
MEM 39.218750 1680699787.1274
MEM 39.218750 1680699787.2320
MEM 39.218750 1680699787.3375
MEM 39.218750 1680699787.4391
MEM 39.218750 1680699787.5431
MEM 39.218750 1680699787.6482
MEM 39.218750 1680699787.7532
MEM 39.218750 1680699787.8558
MEM 39.218750 1680699787.9605
MEM 39.218750 1680699788.0630
MEM 39.218750 1680699788.1697
MEM 39.218750 1680699788.2748
MEM 39.218750 1680699788.3771
MEM 39.218750 1680699788.4840
MEM 39.218750 1680699788.5881
MEM 39.218750 1680699788.6933
MEM 39.218750 1680699788.7971
MEM 39.218750 1680699788.9014
MEM 39.218750 1680699789.0044
MEM 39.218750 1680699789.1093
MEM 39.218750 1680699789.2150
MEM 39.218750 1680699789.3194
MEM 39.218750 1680699789.4245
MEM 39.218750 1680699789.5299
MEM 39.218750 1680699789.6352
MEM 39.218750 1680699789.7378
MEM 39.218750 1680699789.8409
MEM 39.218750 1680699789.9464
MEM 39.218750 1680699790.0512
MEM 39.218750 1680699790.1560
MEM 39.218750 1680699790.2612
MEM 39.218750 1680699790.3666
MEM 39.218750 1680699790.4720
MEM 39.218750 1680699790.5768
